S,K,r,q,sigma,T,Call,Put,Forward,S2
70,80,0.1,0.05,0.14,0.8,1.162355621,7.756402591,72.85675419,4900
70,80,0.1,0.05,0.14,0.9,1.402439712,7.597110805,73.22195019,4900
70,80,0.1,0.05,0.14,1.3,2.38541763,7.038329667,74.70113171,4900
70,80,0.1,0.05,0.14,1.4,2.631447206,6.912538645,75.07557269,4900
70,80,0.1,0.05,0.14,1.5,2.876315766,6.790909837,75.45189056,4900
70,80,0.1,0.05,0.14,1.6,3.119638965,6.672997835,75.83009474,4900
70,80,0.1,0.05,0.14,1.7,3.361118764,6.558444184,76.21019467,4900
70,80,0.1,0.05,0.14,1.8,3.600522542,6.446956486,76.59219986,4900
70,80,0.1,0.05,0.14,1.9,3.83766792,6.338293223,76.97611986,4900
70,80,0.1,0.05,0.14,2.0,4.072411566,6.23225255,77.36196427,4900
70,80,0.1,0.05,0.16,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.16,0.1,0.006640553,9.559753709,70.35087646,4900
70,80,0.1,0.05,0.16,0.3,0.260622645,8.938429557,71.05791452,4900
70,80,0.1,0.05,0.16,0.5,0.733012261,8.55967238,71.77205844,4900
70,80,0.1,0.05,0.16,0.7,1.275465976,8.274592431,72.49337962,4900
70,80,0.1,0.05,0.16,0.9,1.837314802,8.031985895,73.22195019,4900
70,80,0.1,0.05,0.16,1.0,2.118955456,7.919889184,73.58897675,4900
70,80,0.1,0.05,0.16,1.3,2.953037211,7.605949248,74.70113171,4900
70,80,0.1,0.05,0.16,1.4,3.225521894,7.506613333,75.07557269,4900
70,80,0.1,0.05,0.16,1.5,3.49468623,7.409280301,75.45189056,4900
70,80,0.1,0.05,0.16,1.6,3.76034821,7.313707081,75.83009474,4900
70,80,0.1,0.05,0.16,1.7,4.022385226,7.219710645,76.21019467,4900
70,80,0.1,0.05,0.16,1.8,4.280717693,7.127151637,76.59219986,4900
70,80,0.1,0.05,0.16,1.9,4.53529754,7.035922843,76.97611986,4900
70,80,0.1,0.05,0.16,2.0,4.786099988,6.945940971,77.36196427,4900
70,80,0.1,0.05,0.18,0.1,0.017484484,9.570597641,70.35087646,4900
70,80,0.1,0.05,0.18,0.2,0.160561562,9.272967064,70.7035117,4900
70,80,0.1,0.05,0.18,0.4,0.691675526,8.940923527,71.4140938,4900
70,80,0.1,0.05,0.18,0.6,1.323426042,8.73340138,72.13181738,4900
70,80,0.1,0.05,0.18,0.7,1.647145599,8.646272054,72.49337962,4900
70,80,0.1,0.05,0.18,1.1,2.920371826,8.333142293,73.95784303,4900
70,80,0.1,0.05,0.18,1.2,3.227907457,8.258025044,74.32855826,4900
70,80,0.1,0.05,0.18,1.3,3.530314024,8.183226062,74.70113171,4900
70,80,0.1,0.05,0.18,1.4,3.827475034,8.108566472,75.07557269,4900
70,80,0.1,0.05,0.18,1.5,4.119349697,8.033943768,75.45189056,4900
70,80,0.1,0.05,0.18,1.6,4.405946491,7.959305361,75.83009474,4900
70,80,0.1,0.05,0.18,1.7,4.687306033,7.884631453,76.21019467,4900
70,80,0.1,0.05,0.18,1.8,4.963489783,7.809923726,76.59219986,4900
70,80,0.1,0.05,0.18,1.9,5.234572491,7.735197793,76.97611986,4900
70,80,0.1,0.05,0.18,2.0,5.500637095,7.660478079,77.36196427,4900
70,80,0.1,0.05,0.2,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.2,0.2,0.251827734,9.364233236,70.7035117,4900
70,80,0.1,0.05,0.2,0.3,0.569255402,9.247062314,71.05791452,4900
70,80,0.1,0.05,0.2,0.4,0.925582241,9.174830242,71.4140938,4900
70,80,0.1,0.05,0.2,0.6,1.667523231,9.07749857,72.13181738,4900
70,80,0.1,0.05,0.2,0.7,2.036891235,9.036017689,72.49337962,4900
70,80,0.1,0.05,0.2,0.8,2.400902796,8.994949766,72.85675419,4900
70,80,0.1,0.05,0.2,1.0,3.10845932,8.909393048,73.58897675,4900
70,80,0.1,0.05,0.2,1.3,4.11419196,8.767103998,74.70113171,4900
70,80,0.1,0.05,0.2,1.4,4.434717117,8.715808555,75.07557269,4900
70,80,0.1,0.05,0.2,1.5,4.748136259,8.66273033,75.45189056,4900
70,80,0.1,0.05,0.2,1.6,5.054636734,8.607995604,75.83009474,4900
70,80,0.1,0.05,0.2,1.7,5.354411467,8.551736887,76.21019467,4900
70,80,0.1,0.05,0.2,1.8,5.647652865,8.494086809,76.59219986,4900
70,80,0.1,0.05,0.2,1.9,5.934549246,8.435174548,76.97611986,4900
70,80,0.1,0.05,0.2,2.0,6.215282815,8.375123799,77.36196427,4900
70,80,0.1,0.05,0.22,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.22,0.1,0.065362015,9.618475171,70.35087646,4900
70,80,0.1,0.05,0.22,0.2,0.362361468,9.474766971,70.7035117,4900
70,80,0.1,0.05,0.22,0.3,0.756825762,9.434632674,71.05791452,4900
70,80,0.1,0.05,0.22,0.4,1.179174512,9.428422512,71.4140938,4900
70,80,0.1,0.05,0.22,0.5,1.605681042,9.43234116,71.77205844,4900
70,80,0.1,0.05,0.22,0.7,2.440234058,9.439360513,72.49337962,4900
70,80,0.1,0.05,0.22,1.2,4.350582661,9.380700248,74.32855826,4900
70,80,0.1,0.05,0.22,1.3,4.702654406,9.355566444,74.70113171,4900
70,80,0.1,0.05,0.22,1.4,5.045539821,9.32663126,75.07557269,4900
70,80,0.1,0.05,0.22,1.5,5.379611502,9.294205573,75.45189056,4900
70,80,0.1,0.05,0.22,1.6,5.70522546,9.25858433,75.83009474,4900
70,80,0.1,0.05,0.22,1.7,6.02271775,9.220043169,76.21019467,4900
70,80,0.1,0.05,0.22,1.8,6.332403508,9.178837452,76.59219986,4900
70,80,0.1,0.05,0.22,1.9,6.634577267,9.13520257,76.97611986,4900
70,80,0.1,0.05,0.22,2.0,6.929513924,9.089354907,77.36196427,4900
70,80,0.1,0.05,0.24,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.24,0.3,0.961688769,9.639495681,71.05791452,4900
70,80,0.1,0.05,0.24,0.6,2.399130921,9.809106259,72.13181738,4900
70,80,0.1,0.05,0.24,1.0,4.132465315,9.933399043,73.58897675,4900
70,80,0.1,0.05,0.24,1.3,5.29430988,9.947221917,74.70113171,4900
70,80,0.1,0.05,0.24,1.4,5.65876149,9.939852928,75.07557269,4900
70,80,0.1,0.05,0.24,1.5,6.012778432,9.927372503,75.45189056,4900
70,80,0.1,0.05,0.24,1.6,6.356876753,9.910235623,75.83009474,4900
70,80,0.1,0.05,0.24,1.7,6.691528082,9.888853502,76.21019467,4900
70,80,0.1,0.05,0.24,1.8,7.017163653,9.863597597,76.59219986,4900
70,80,0.1,0.05,0.24,1.9,7.334178375,9.834803677,76.97611986,4900
70,80,0.1,0.05,0.24,2.0,7.64293468,9.802775664,77.36196427,4900
70,80,0.1,0.05,0.26,0.2,0.632554792,9.744960294,70.7035117,4900
70,80,0.1,0.05,0.26,0.3,1.180916912,9.858723824,71.05791452,4900
70,80,0.1,0.05,0.26,0.6,2.780522516,10.19049785,72.13181738,4900
70,80,0.1,0.05,0.26,0.9,4.210490562,10.40516166,73.22195019,4900
70,80,0.1,0.05,0.26,1.1,5.078382465,10.49115293,73.95784303,4900
70,80,0.1,0.05,0.26,1.2,5.490055927,10.52017351,74.32855826,4900
70,80,0.1,0.05,0.26,1.3,5.888160228,10.54107227,74.70113171,4900
70,80,0.1,0.05,0.26,1.4,6.273530402,10.55462184,75.07557269,4900
70,80,0.1,0.05,0.26,1.5,6.646913139,10.56150721,75.45189056,4900
70,80,0.1,0.05,0.26,1.6,7.008977336,10.56233621,75.83009474,4900
70,80,0.1,0.05,0.26,1.7,7.360324007,10.55764943,76.21019467,4900
70,80,0.1,0.05,0.26,1.8,7.701495123,10.54792907,76.59219986,4900
70,80,0.1,0.05,0.26,1.9,8.032981312,10.53360661,76.97611986,4900
70,80,0.1,0.05,0.26,2.0,8.355228463,10.51506945,77.36196427,4900
70,80,0.1,0.05,0.28,0.1,0.214865507,9.767978664,70.35087646,4900
70,80,0.1,0.05,0.28,0.2,0.78806686,9.900472362,70.7035117,4900
70,80,0.1,0.05,0.28,0.6,3.169487042,10.57946238,72.13181738,4900
70,80,0.1,0.05,0.28,1.1,5.627699533,11.04047,73.95784303,4900
70,80,0.1,0.05,0.28,1.2,6.063310521,11.09342811,74.32855826,4900
70,80,0.1,0.05,0.28,1.3,6.483464454,11.13637649,74.70113171,4900
70,80,0.1,0.05,0.28,1.4,6.88920988,11.17030132,75.07557269,4900
70,80,0.1,0.05,0.28,1.5,7.281469285,11.19606336,75.45189056,4900
70,80,0.1,0.05,0.28,1.6,7.661058452,11.21441732,75.83009474,4900
70,80,0.1,0.05,0.28,1.7,8.028702704,11.22602812,76.21019467,4900
70,80,0.1,0.05,0.28,1.8,8.385050409,11.23148435,76.59219986,4900
70,80,0.1,0.05,0.28,1.9,8.730684163,11.23130947,76.97611986,4900
70,80,0.1,0.05,0.28,2.0,9.066130059,11.22597104,77.36196427,4900
70,80,0.1,0.05,0.3,0.1,0.284944504,9.83805766,70.35087646,4900
70,80,0.1,0.05,0.3,0.2,0.954772178,10.06717768,70.7035117,4900
70,80,0.1,0.05,0.3,0.4,2.324693029,10.57394103,71.4140938,4900
70,80,0.1,0.05,0.3,0.7,4.137271414,11.13639787,72.49337962,4900
70,80,0.1,0.05,0.3,0.8,4.682570541,11.27661751,72.85675419,4900
70,80,0.1,0.05,0.3,0.9,5.203131822,11.39780292,73.22195019,4900
70,80,0.1,0.05,0.3,1.0,5.701279201,11.50221293,73.58897675,4900
70,80,0.1,0.05,0.3,1.1,6.178994298,11.59176476,73.95784303,4900
70,80,0.1,0.05,0.3,1.2,6.637968961,11.66808655,74.32855826,4900
70,80,0.1,0.05,0.3,1.3,7.079655305,11.73256734,74.70113171,4900
70,80,0.1,0.05,0.3,1.4,7.505308219,11.78639966,75.07557269,4900
70,80,0.1,0.05,0.3,1.5,7.916020056,11.83061413,75.45189056,4900
70,80,0.1,0.05,0.3,1.6,8.312748528,11.8661074,75.83009474,4900
70,80,0.1,0.05,0.3,1.7,8.696339101,11.89366452,76.21019467,4900
70,80,0.1,0.05,0.3,1.8,9.067542994,11.91397694,76.59219986,4900
70,80,0.1,0.05,0.3,1.9,9.427031738,11.92765704,76.97611986,4900
70,80,0.1,0.05,0.3,2.0,9.775409009,11.93524999,77.36196427,4900
70,80,0.1,0.05,0.32,0.2,1.13115288,10.24355838,70.7035117,4900
70,80,0.1,0.05,0.32,0.3,1.902991649,10.58079856,71.05791452,4900
70,80,0.1,0.05,0.32,0.4,2.63306004,10.88230804,71.4140938,4900
70,80,0.1,0.05,0.32,0.5,3.318883573,11.14554369,71.77205844,4900
70,80,0.1,0.05,0.32,0.8,5.153127594,11.74717456,72.85675419,4900
70,80,0.1,0.05,0.32,0.9,5.703679357,11.89835045,73.22195019,4900
70,80,0.1,0.05,0.32,1.0,6.229068585,12.03000231,73.58897675,4900
70,80,0.1,0.05,0.32,1.1,6.731680808,12.14445128,73.95784303,4900
70,80,0.1,0.05,0.32,1.3,7.676286308,12.32919835,74.70113171,4900
70,80,0.1,0.05,0.32,1.4,8.12143435,12.40252579,75.07557269,4900
70,80,0.1,0.05,0.32,1.5,8.550221532,12.4648156,75.45189056,4900
70,80,0.1,0.05,0.32,1.6,8.963743382,12.51710225,75.83009474,4900
70,80,0.1,0.05,0.32,1.7,9.362962062,12.56028748,76.21019467,4900
70,80,0.1,0.05,0.32,1.8,9.748728742,12.59516269,76.59219986,4900
70,80,0.1,0.05,0.32,1.9,10.12180141,12.62242671,76.97611986,4900
70,80,0.1,0.05,0.32,2.0,10.48285921,12.64270019,77.36196427,4900
70,80,0.1,0.05,0.34,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.34,0.1,0.451780674,10.00489383,70.35087646,4900
70,80,0.1,0.05,0.34,0.3,2.159789347,10.83759626,71.05791452,4900
70,80,0.1,0.05,0.34,0.4,2.947373082,11.19662108,71.4140938,4900
70,80,0.1,0.05,0.34,0.5,3.681344113,11.50800423,71.77205844,4900
70,80,0.1,0.05,0.34,0.6,4.368489132,11.77846447,72.13181738,4900
70,80,0.1,0.05,0.34,0.7,5.015068623,12.01419508,72.49337962,4900
70,80,0.1,0.05,0.34,1.0,6.758271814,12.55920554,73.58897675,4900
70,80,0.1,0.05,0.34,1.3,8.272997074,12.92590911,74.70113171,4900
70,80,0.1,0.05,0.34,1.4,8.737268863,13.0183603,75.07557269,4900
70,80,0.1,0.05,0.34,1.5,9.183788815,13.09838289,75.45189056,4900
70,80,0.1,0.05,0.34,1.6,9.613786835,13.16714571,75.83009474,4900
70,80,0.1,0.05,0.34,1.7,10.02833893,13.22566435,76.21019467,4900
70,80,0.1,0.05,0.34,1.8,10.42839383,13.27482777,76.59219986,4900
70,80,0.1,0.05,0.34,1.9,10.81479396,13.31541926,76.97611986,4900
70,80,0.1,0.05,0.34,2.0,11.18829219,13.34813317,77.36196427,4900
70,80,0.1,0.05,0.36,0.2,1.507938166,10.62034367,70.7035117,4900
70,80,0.1,0.05,0.36,0.3,2.422665713,11.10047263,71.05791452,4900
70,80,0.1,0.05,0.36,0.6,4.77575974,12.18573508,72.13181738,4900
70,80,0.1,0.05,0.36,0.7,5.45818901,12.45731546,72.49337962,4900
70,80,0.1,0.05,0.36,0.8,6.101358596,12.69540557,72.85675419,4900
70,80,0.1,0.05,0.36,0.9,6.710149884,12.90482098,73.22195019,4900
70,80,0.1,0.05,0.36,1.0,7.28846173,13.08939546,73.58897675,4900
70,80,0.1,0.05,0.36,1.1,7.839457052,13.25222752,73.95784303,4900
70,80,0.1,0.05,0.36,1.3,8.869489931,13.52240197,74.70113171,4900
70,80,0.1,0.05,0.36,1.4,9.352544553,13.63363599,75.07557269,4900
70,80,0.1,0.05,0.36,1.5,9.816480021,13.73107409,75.45189056,4900
70,80,0.1,0.05,0.36,1.6,10.26265774,13.81601661,75.83009474,4900
70,80,0.1,0.05,0.36,1.7,10.6922652,13.88959062,76.21019467,4900
70,80,0.1,0.05,0.36,1.8,11.10634671,13.95278065,76.59219986,4900
70,80,0.1,0.05,0.36,1.9,11.50582746,14.00645277,76.97611986,4900
70,80,0.1,0.05,0.36,2.0,11.89153266,14.05137365,77.36196427,4900
70,80,0.1,0.05,0.38,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.38,0.5,4.417811508,12.24447163,71.77205844,4900
70,80,0.1,0.05,0.38,0.6,5.185727621,12.59570296,72.13181738,4900
70,80,0.1,0.05,0.38,0.8,6.578027556,13.17207453,72.85675419,4900
70,80,0.1,0.05,0.38,1.1,8.39385888,13.80662935,73.95784303,4900
70,80,0.1,0.05,0.38,1.3,9.465513823,14.11842586,74.70113171,4900
70,80,0.1,0.05,0.38,1.4,9.967033027,14.24812447,75.07557269,4900
70,80,0.1,0.05,0.38,1.5,10.44808528,14.36267935,75.45189056,4900
70,80,0.1,0.05,0.38,1.6,10.91016109,14.46351996,75.83009474,4900
70,80,0.1,0.05,0.38,1.7,11.35455744,14.55188286,76.21019467,4900
70,80,0.1,0.05,0.38,1.8,11.78241259,14.62884653,76.59219986,4900
70,80,0.1,0.05,0.38,1.9,12.19473315,14.69535845,76.97611986,4900
70,80,0.1,0.05,0.38,2.0,12.59241547,14.75225646,77.36196427,4900
70,80,0.1,0.05,0.4,0.1,0.758032403,10.31114556,70.35087646,4900
70,80,0.1,0.05,0.4,0.2,1.910184761,11.02259026,70.7035117,4900
70,80,0.1,0.05,0.4,0.3,2.963292426,11.64109934,71.05791452,4900
70,80,0.1,0.05,0.4,0.5,4.790588716,12.61724883,71.77205844,4900
70,80,0.1,0.05,0.4,0.6,5.597910766,13.0078861,72.13181738,4900
70,80,0.1,0.05,0.4,0.9,7.720976304,13.9156474,73.22195019,4900
70,80,0.1,0.05,0.4,1.2,9.517491109,14.5476087,74.32855826,4900
70,80,0.1,0.05,0.4,1.3,10.06085296,14.713765,74.70113171,4900
70,80,0.1,0.05,0.4,1.4,10.58053529,14.86162673,75.07557269,4900
70,80,0.1,0.05,0.4,1.5,11.07841903,14.9930131,75.45189056,4900
70,80,0.1,0.05,0.4,1.6,11.55612176,15.10948063,75.83009474,4900
70,80,0.1,0.05,0.4,1.7,12.01504834,15.21237376,76.21019467,4900
70,80,0.1,0.05,0.4,1.8,12.45642962,15.30286356,76.59219986,4900
70,80,0.1,0.05,0.4,1.9,12.88135248,15.38197778,76.97611986,4900
70,80,0.1,0.05,0.4,2.0,13.29078351,15.4506245,77.36196427,4900
70,80,0.1,0.05,0.42,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.42,0.1,0.872418484,10.42553164,70.35087646,4900
70,80,0.1,0.05,0.42,0.2,2.118920426,11.23132593,70.7035117,4900
70,80,0.1,0.05,0.42,0.3,3.239703304,11.91751022,71.05791452,4900
70,80,0.1,0.05,0.42,0.4,4.247494813,12.49674281,71.4140938,4900
70,80,0.1,0.05,0.42,0.5,5.165751752,12.99241187,71.77205844,4900
70,80,0.1,0.05,0.42,0.7,6.79847057,13.79759702,72.49337962,4900
70,80,0.1,0.05,0.42,1.2,10.09261508,15.12273267,74.32855826,4900
70,80,0.1,0.05,0.42,1.3,10.6553187,15.30823073,74.70113171,4900
70,80,0.1,0.05,0.42,1.4,11.19287499,15.47396643,75.07557269,4900
70,80,0.1,0.05,0.42,1.5,11.70731446,15.62190854,75.45189056,4900
70,80,0.1,0.05,0.42,1.6,12.20038008,15.75373895,75.83009474,4900
70,80,0.1,0.05,0.42,1.7,12.6735832,15.87090861,76.21019467,4900
70,80,0.1,0.05,0.42,1.8,13.12824613,15.97468007,76.59219986,4900
70,80,0.1,0.05,0.42,1.9,13.56553513,16.06616043,76.97611986,4900
70,80,0.1,0.05,0.42,2.0,13.98648623,16.14632721,77.36196427,4900
70,80,0.1,0.05,0.44,0.4,4.580274343,12.82952234,71.4140938,4900
70,80,0.1,0.05,0.44,0.5,5.542917303,13.36957742,71.77205844,4900
70,80,0.1,0.05,0.44,0.6,6.427391208,13.83736655,72.13181738,4900
70,80,0.1,0.05,0.44,0.7,7.24768971,14.24681616,72.49337962,4900
70,80,0.1,0.05,0.44,0.9,8.733722662,14.92839376,73.22195019,4900
70,80,0.1,0.05,0.44,1.0,9.412888986,15.21382271,73.58897675,4900
70,80,0.1,0.05,0.44,1.1,10.05606548,15.46883595,73.95784303,4900
70,80,0.1,0.05,0.44,1.2,10.66699137,15.69710896,74.32855826,4900
70,80,0.1,0.05,0.44,1.3,11.24874355,15.90165558,74.70113171,4900
70,80,0.1,0.05,0.44,1.4,11.80389352,16.08498496,75.07557269,4900
70,80,0.1,0.05,0.44,1.5,12.33461955,16.24921363,75.45189056,4900
70,80,0.1,0.05,0.44,1.6,12.84278859,16.39614746,75.83009474,4900
70,80,0.1,0.05,0.44,1.7,13.33001733,16.52734275,76.21019467,4900
70,80,0.1,0.05,0.44,1.8,13.79771867,16.64415261,76.59219986,4900
70,80,0.1,0.05,0.44,1.9,14.24713746,16.74776276,76.97611986,4900
70,80,0.1,0.05,0.44,2.0,14.67937855,16.83921954,77.36196427,4900
70,80,0.1,0.05,0.46,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.46,0.3,3.802133351,12.47994026,71.05791452,4900
70,80,0.1,0.05,0.46,0.7,7.697683503,14.69680996,72.49337962,4900
70,80,0.1,0.05,0.46,0.8,8.493665685,15.08771265,72.85675419,4900
70,80,0.1,0.05,0.46,1.0,9.943750477,15.7446842,73.58897675,4900
70,80,0.1,0.05,0.46,1.1,10.60915031,16.02192078,73.95784303,4900
70,80,0.1,0.05,0.46,1.2,11.24046093,16.27057851,74.32855826,4900
70,80,0.1,0.05,0.46,1.3,11.84097682,16.49388886,74.70113171,4900
70,80,0.1,0.05,0.46,1.4,12.41344635,16.69453779,75.07557269,4900
70,80,0.1,0.05,0.46,1.5,12.96019404,16.87478811,75.45189056,4900
70,80,0.1,0.05,0.46,1.6,13.48320963,17.0365685,75.83009474,4900
70,80,0.1,0.05,0.46,1.7,13.98421424,17.18153966,76.21019467,4900
70,80,0.1,0.05,0.46,1.8,14.46471057,17.31114452,76.59219986,4900
70,80,0.1,0.05,0.46,1.9,14.92602148,17.42664679,76.97611986,4900
70,80,0.1,0.05,0.46,2.0,15.36932015,17.52916114,77.36196427,4900
70,80,0.1,0.05,0.48,0.1,1.244868197,10.79798135,70.35087646,4900
70,80,0.1,0.05,0.48,0.2,2.768771192,11.88117669,70.7035117,4900
70,80,0.1,0.05,0.48,0.3,4.087345917,12.76515283,71.05791452,4900
70,80,0.1,0.05,0.48,0.4,5.25222756,13.50147556,71.4140938,4900
70,80,0.1,0.05,0.48,0.5,6.302010945,14.12867106,71.77205844,4900
70,80,0.1,0.05,0.48,0.6,7.261711095,14.67168643,72.13181738,4900
70,80,0.1,0.05,0.48,0.7,8.148237935,15.14736439,72.49337962,4900
70,80,0.1,0.05,0.48,0.9,9.746634518,15.94130561,73.22195019,4900
70,80,0.1,0.05,0.48,1.3,12.43188129,17.08479333,74.70113171,4900
70,80,0.1,0.05,0.48,1.4,13.02140033,17.30249177,75.07557269,4900
70,80,0.1,0.05,0.48,1.5,13.58390724,17.49850131,75.45189056,4900
70,80,0.1,0.05,0.48,1.6,14.12151358,17.67487245,75.83009474,4900
70,80,0.1,0.05,0.48,1.7,14.63604416,17.83336958,76.21019467,4900
70,80,0.1,0.05,0.48,1.8,15.12909086,17.9755248,76.59219986,4900
70,80,0.1,0.05,0.48,1.9,15.60205405,18.10267935,76.97611986,4900
70,80,0.1,0.05,0.48,2.0,16.05617485,18.21601584,77.36196427,4900
70,80,0.1,0.05,0.5,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.5,0.1,1.377306842,10.93042,70.35087646,4900
70,80,0.1,0.05,0.5,0.5,6.683428091,14.51008821,71.77205844,4900
70,80,0.1,0.05,0.5,0.6,7.680101128,15.09007647,72.13181738,4900
70,80,0.1,0.05,0.5,0.9,10.25272545,16.44739655,73.22195019,4900
70,80,0.1,0.05,0.5,1.1,11.71290274,17.12567321,73.95784303,4900
70,80,0.1,0.05,0.5,1.3,13.0213307,17.67424274,74.70113171,4900
70,80,0.1,0.05,0.5,1.4,13.62763158,17.90872302,75.07557269,4900
70,80,0.1,0.05,0.5,1.5,14.20563633,18.1202304,75.45189056,4900
70,80,0.1,0.05,0.5,1.6,14.75757753,18.3109364,75.83009474,4900
70,80,0.1,0.05,0.5,1.7,15.28538303,18.48270845,76.21019467,4900
70,80,0.1,0.05,0.5,1.8,15.79073343,18.63716737,76.59219986,4900
70,80,0.1,0.05,0.5,1.9,16.27510624,18.77573154,76.97611986,4900
70,80,0.1,0.05,0.5,2.0,16.73981023,18.89965121,77.36196427,4900
70,85,0.1,0.05,0.1,0.1,4.24926e-10,14.50336233,70.35087646,4900
70,85,0.1,0.05,0.1,0.2,1.43067e-05,14.01341318,70.7035117,4900
70,85,0.1,0.05,0.1,0.4,0.004204214,13.05739941,71.4140938,4900
70,85,0.1,0.05,0.1,0.6,0.035008354,12.15380636,72.13181738,4900
70,85,0.1,0.05,0.1,0.7,0.067247233,11.72834279,72.49337962,4900
70,85,0.1,0.05,0.1,0.8,0.112097415,11.32172612,72.85675419,4900
70,85,0.1,0.05,0.1,1.0,0.239082654,10.56420347,73.58897675,4900
70,85,0.1,0.05,0.1,1.1,0.31997998,10.21192112,73.95784303,4900
70,85,0.1,0.05,0.1,1.2,0.411365319,9.876085089,74.32855826,4900
70,85,0.1,0.05,0.1,1.3,0.512337053,9.555726245,74.70113171,4900
70,85,0.1,0.05,0.1,1.4,0.622006522,9.249889137,75.07557269,4900
70,85,0.1,0.05,0.1,1.5,0.739524655,8.957658608,75.45189056,4900
70,85,0.1,0.05,0.1,1.6,0.864095283,8.678173098,75.83009474,4900
70,85,0.1,0.05,0.1,1.7,0.99498048,8.410629983,76.21019467,4900
70,85,0.1,0.05,0.1,1.8,1.13150125,8.15428625,76.59219986,4900
70,85,0.1,0.05,0.1,1.9,1.27303561,7.908456582,76.97611986,4900
70,85,0.1,0.05,0.1,2.0,1.4190153,7.672510049,77.36196427,4900
70,85,0.1,0.05,0.12,0.0,0.0,15.0,70.0,4900
70,85,0.1,0.05,0.12,0.2,0.000312364,14.01371123,70.7035117,4900
70,85,0.1,0.05,0.12,0.4,0.021114587,13.07430978,71.4140938,4900
70,85,0.1,0.05,0.12,0.6,0.106446718,12.22524472,72.13181738,4900
70,85,0.1,0.05,0.12,0.7,0.176662206,11.83775776,72.49337962,4900
70,85,0.1,0.05,0.12,1.0,0.479914917,10.80503573,73.58897675,4900
70,85,0.1,0.05,0.12,1.3,0.885118236,9.928507427,74.70113171,4900
70,85,0.1,0.05,0.12,1.4,1.036005401,9.663888016,75.07557269,4900
